Linea;PK;Longitud;Latitud
40;38560;-3.737.329;40.173.265
40;38570;-3.737.248;40.173.200
40;38580;-3.737.167;40.173.134
40;38590;-3.737.086;40.173.069
40;38600;-3.737.005;40.173.004
40;38610;-3.736.924;40.172.939
40;38620;-3.736.843;40.172.873
40;38630;-3.736.761;40.172.808
40;38640;-3.736.680;40.172.743
40;38650;-3.736.599;40.172.678
40;38660;-3.736.518;40.172.613
40;38670;-3.736.437;40.172.548
40;38680;-3.736.356;40.172.482
40;38690;-3.736.275;40.172.417
40;38700;-3.736.194;40.172.352
40;38710;-3.736.113;40.172.287
40;38720;-3.736.032;40.172.221
40;38730;-3.735.950;40.172.157
40;38740;-3.735.869;40.172.091
40;38750;-3.735.788;40.172.026
40;38760;-3.735.707;40.171.961
40;38770;-3.735.626;40.171.896
40;38780;-3.735.545;40.171.831
40;38790;-3.735.464;40.171.765
40;38800;-3.735.383;40.171.700
40;38810;-3.735.302;40.171.635
40;38820;-3.735.220;40.171.570
40;38830;-3.735.139;40.171.505
40;38840;-3.735.058;40.171.439
40;38850;-3.734.977;40.171.374
40;38860;-3.734.896;40.171.309
40;38870;-3.734.815;40.171.244
40;38880;-3.734.734;40.171.179
40;38890;-3.734.653;40.171.114
40;38900;-3.734.572;40.171.048
40;38910;-3.734.491;40.170.983
40;38920;-3.734.409;40.170.918
40;38930;-3.734.328;40.170.853
40;38940;-3.734.247;40.170.788
40;38950;-3.734.166;40.170.722
40;38960;-3.734.085;40.170.657
40;38970;-3.734.004;40.170.592
40;38980;-3.733.923;40.170.527
40;38990;-3.733.841;40.170.462
40;39000;-3.733.760;40.170.397
40;39010;-3.733.679;40.170.331
40;39020;-3.733.598;40.170.266
40;39030;-3.733.517;40.170.201
40;39040;-3.733.436;40.170.136
40;39050;-3.733.355;40.170.071
40;39060;-3.733.274;40.170.006
40;39070;-3.733.192;40.169.940
40;39080;-3.733.111;40.169.875
40;39090;-3.733.030;40.169.810
40;39100;-3.732.949;40.169.745
40;39110;-3.732.868;40.169.680
40;39120;-3.732.787;40.169.614
40;39130;-3.732.706;40.169.549
40;39140;-3.732.625;40.169.484
40;39150;-3.732.544;40.169.419
40;39160;-3.732.463;40.169.354
40;39170;-3.732.381;40.169.289
