Linea;PK;Longitud;Latitud
40;250640;-1.957.504;39.587.370
40;250650;-1.957.491;39.587.280
40;250660;-1.957.478;39.587.191
40;250670;-1.957.465;39.587.101
40;250680;-1.957.452;39.587.012
40;250690;-1.957.439;39.586.922
40;250700;-1.957.426;39.586.833
40;250710;-1.957.412;39.586.743
40;250720;-1.957.398;39.586.654
40;250730;-1.957.384;39.586.564
40;250740;-1.957.370;39.586.475
40;250750;-1.957.356;39.586.386
40;250760;-1.957.342;39.586.296
40;250770;-1.957.327;39.586.207
40;250780;-1.957.313;39.586.117
40;250790;-1.957.299;39.586.028
40;250800;-1.957.283;39.585.939
40;250810;-1.957.268;39.585.849
40;250820;-1.957.253;39.585.760
40;250830;-1.957.237;39.585.671
40;250840;-1.957.222;39.585.581
40;250850;-1.957.207;39.585.492
40;250860;-1.957.192;39.585.403
40;250870;-1.957.176;39.585.313
40;250880;-1.957.159;39.585.224
40;250890;-1.957.143;39.585.135
40;250900;-1.957.126;39.585.046
40;250910;-1.957.110;39.584.957
40;250920;-1.957.093;39.584.868
40;250930;-1.957.077;39.584.778
40;250940;-1.957.060;39.584.689
40;250950;-1.957.043;39.584.600
40;250960;-1.957.026;39.584.511
40;250970;-1.957.008;39.584.422
40;250980;-1.956.990;39.584.333
40;250990;-1.956.973;39.584.244
40;251000;-1.956.955;39.584.155
40;251010;-1.956.938;39.584.066
40;251020;-1.956.920;39.583.977
40;251030;-1.956.902;39.583.888
40;251040;-1.956.883;39.583.799
40;251050;-1.956.864;39.583.710
40;251060;-1.956.845;39.583.621
40;251070;-1.956.826;39.583.532
40;251080;-1.956.808;39.583.443
40;251090;-1.956.789;39.583.354
40;251100;-1.956.770;39.583.265
40;251110;-1.956.751;39.583.176
40;251120;-1.956.731;39.583.088
40;251130;-1.956.711;39.582.999
40;251140;-1.956.691;39.582.910
40;251150;-1.956.671;39.582.821
40;251160;-1.956.651;39.582.733
40;251170;-1.956.631;39.582.644
40;251180;-1.956.611;39.582.555
40;251190;-1.956.590;39.582.466
40;251200;-1.956.569;39.582.378
40;251210;-1.956.548;39.582.289
40;251220;-1.956.527;39.582.201
40;251230;-1.956.506;39.582.112
40;251240;-1.956.485;39.582.023
40;251250;-1.956.464;39.581.935
40;251260;-1.956.443;39.581.846
40;251270;-1.956.421;39.581.758
40;251280;-1.956.399;39.581.669
40;251290;-1.956.376;39.581.581
40;251300;-1.956.354;39.581.492
40;251310;-1.956.332;39.581.404
40;251320;-1.956.310;39.581.316
40;251330;-1.956.287;39.581.227
40;251340;-1.956.265;39.581.139
40;251350;-1.956.242;39.581.050
40;251360;-1.956.219;39.580.962
40;251370;-1.956.195;39.580.874
40;251380;-1.956.172;39.580.786
40;251390;-1.956.148;39.580.697
40;251400;-1.956.125;39.580.609
40;251410;-1.956.102;39.580.521
40;251420;-1.956.078;39.580.433
40;251430;-1.956.054;39.580.344
40;251440;-1.956.029;39.580.256
40;251450;-1.956.005;39.580.168
40;251460;-1.955.980;39.580.080
40;251470;-1.955.956;39.579.992
40;251480;-1.955.931;39.579.904
40;251490;-1.955.907;39.579.816
40;251500;-1.955.882;39.579.728
40;251510;-1.955.857;39.579.640
40;251520;-1.955.831;39.579.552
40;251530;-1.955.805;39.579.464
40;251540;-1.955.780;39.579.376
40;251550;-1.955.754;39.579.289
40;251560;-1.955.728;39.579.201
40;251570;-1.955.703;39.579.113
40;251580;-1.955.677;39.579.025
40;251590;-1.955.650;39.578.937
40;251600;-1.955.623;39.578.850
40;251610;-1.955.596;39.578.762
40;251620;-1.955.570;39.578.674
40;251630;-1.955.543;39.578.587
40;251640;-1.955.516;39.578.499
40;251650;-1.955.489;39.578.411
40;251660;-1.955.462;39.578.323
40;251670;-1.955.434;39.578.236
40;251680;-1.955.406;39.578.149
40;251690;-1.955.378;39.578.061
40;251700;-1.955.351;39.577.974
40;251710;-1.955.323;39.577.886
40;251720;-1.955.295;39.577.799
40;251730;-1.955.267;39.577.711
40;251740;-1.955.239;39.577.624
40;251750;-1.955.210;39.577.537
40;251760;-1.955.180;39.577.449
40;251770;-1.955.151;39.577.362
40;251780;-1.955.122;39.577.275
40;251790;-1.955.093;39.577.188
40;251800;-1.955.064;39.577.100
40;251810;-1.955.035;39.577.013
40;251820;-1.955.006;39.576.926
40;251830;-1.954.976;39.576.839
40;251840;-1.954.945;39.576.752
40;251850;-1.954.915;39.576.665
40;251860;-1.954.885;39.576.578
40;251870;-1.954.855;39.576.491
40;251880;-1.954.824;39.576.404
40;251890;-1.954.794;39.576.317
40;251900;-1.954.764;39.576.230
40;251910;-1.954.733;39.576.143
40;251920;-1.954.701;39.576.056
40;251930;-1.954.670;39.575.970
40;251940;-1.954.638;39.575.883
40;251950;-1.954.607;39.575.796
40;251960;-1.954.576;39.575.709
40;251970;-1.954.544;39.575.623
40;251980;-1.954.513;39.575.536
40;251990;-1.954.480;39.575.449
40;252000;-1.954.448;39.575.363
40;252010;-1.954.415;39.575.276
40;252020;-1.954.383;39.575.190
40;252030;-1.954.350;39.575.103
40;252040;-1.954.318;39.575.017
40;252050;-1.954.285;39.574.930
40;252060;-1.954.253;39.574.844
40;252070;-1.954.219;39.574.758
40;252080;-1.954.186;39.574.671
40;252090;-1.954.152;39.574.585
40;252100;-1.954.118;39.574.499
40;252110;-1.954.085;39.574.412
40;252120;-1.954.051;39.574.326
40;252130;-1.954.018;39.574.240
40;252140;-1.953.984;39.574.154
40;252150;-1.953.949;39.574.068
40;252160;-1.953.914;39.573.982
40;252170;-1.953.879;39.573.896
40;252180;-1.953.845;39.573.810
40;252190;-1.953.810;39.573.724
40;252200;-1.953.775;39.573.638
40;252210;-1.953.741;39.573.552
40;252220;-1.953.705;39.573.466
40;252230;-1.953.670;39.573.380
40;252240;-1.953.634;39.573.294
40;252250;-1.953.598;39.573.209
40;252260;-1.953.562;39.573.123
40;252270;-1.953.526;39.573.037
40;252280;-1.953.490;39.572.952
40;252290;-1.953.455;39.572.866
40;252300;-1.953.418;39.572.780
40;252310;-1.953.381;39.572.695
40;252320;-1.953.344;39.572.609
40;252330;-1.953.307;39.572.524
40;252340;-1.953.270;39.572.438
40;252350;-1.953.234;39.572.353
40;252360;-1.953.197;39.572.268
40;252370;-1.953.160;39.572.182
40;252380;-1.953.122;39.572.097
40;252390;-1.953.084;39.572.012
40;252400;-1.953.046;39.571.927
40;252410;-1.953.008;39.571.841
40;252420;-1.952.970;39.571.756
40;252430;-1.952.932;39.571.671
40;252440;-1.952.894;39.571.586
40;252450;-1.952.856;39.571.501
40;252460;-1.952.817;39.571.416
40;252470;-1.952.778;39.571.331
40;252480;-1.952.739;39.571.246
40;252490;-1.952.700;39.571.161
40;252500;-1.952.661;39.571.076
40;252510;-1.952.621;39.570.992
40;252520;-1.952.582;39.570.907
40;252530;-1.952.543;39.570.822
40;252540;-1.952.503;39.570.737
40;252550;-1.952.463;39.570.653
40;252560;-1.952.423;39.570.568
40;252570;-1.952.382;39.570.484
40;252580;-1.952.342;39.570.399
40;252590;-1.952.302;39.570.315
40;252600;-1.952.262;39.570.230
40;252610;-1.952.221;39.570.146
40;252620;-1.952.181;39.570.061
40;252630;-1.952.139;39.569.977
40;252640;-1.952.098;39.569.893
40;252650;-1.952.056;39.569.809
40;252660;-1.952.015;39.569.724
40;252670;-1.951.974;39.569.640
40;252680;-1.951.932;39.569.556
40;252690;-1.951.891;39.569.472
40;252700;-1.951.849;39.569.388
40;252710;-1.951.806;39.569.304
40;252720;-1.951.764;39.569.220
40;252730;-1.951.722;39.569.136
40;252740;-1.951.679;39.569.052
40;252750;-1.951.637;39.568.968
40;252760;-1.951.594;39.568.884
40;252770;-1.951.552;39.568.800
40;252780;-1.951.509;39.568.717
40;252790;-1.951.465;39.568.633
40;252800;-1.951.422;39.568.550
40;252810;-1.951.378;39.568.466
40;252820;-1.951.334;39.568.383
40;252830;-1.951.291;39.568.299
40;252840;-1.951.247;39.568.215
40;252850;-1.951.204;39.568.132
40;252860;-1.951.159;39.568.049
40;252870;-1.951.115;39.567.965
40;252880;-1.951.070;39.567.882
40;252890;-1.951.026;39.567.799
40;252900;-1.950.981;39.567.716
40;252910;-1.950.936;39.567.633
40;252920;-1.950.892;39.567.549
40;252930;-1.950.847;39.567.466
40;252940;-1.950.802;39.567.383
40;252950;-1.950.756;39.567.300
40;252960;-1.950.710;39.567.217
40;252970;-1.950.665;39.567.135
40;252980;-1.950.619;39.567.052
40;252990;-1.950.573;39.566.969
40;253000;-1.950.527;39.566.886
40;253010;-1.950.482;39.566.803
40;253020;-1.950.435;39.566.721
40;253030;-1.950.388;39.566.638
40;253040;-1.950.342;39.566.556
40;253050;-1.950.295;39.566.473
40;253060;-1.950.248;39.566.391
40;253070;-1.950.201;39.566.308
40;253080;-1.950.154;39.566.226
40;253090;-1.950.108;39.566.143
40;253100;-1.950.060;39.566.061
40;253110;-1.950.012;39.565.979
40;253120;-1.949.964;39.565.897
40;253130;-1.949.916;39.565.814
40;253140;-1.949.869;39.565.732
40;253150;-1.949.821;39.565.650
40;253160;-1.949.773;39.565.568
40;253170;-1.949.725;39.565.486
40;253180;-1.949.676;39.565.404
40;253190;-1.949.627;39.565.322
40;253200;-1.949.578;39.565.241
40;253210;-1.949.529;39.565.159
40;253220;-1.949.481;39.565.077
40;253230;-1.949.432;39.564.995
40;253240;-1.949.383;39.564.914
40;253250;-1.949.334;39.564.832
40;253260;-1.949.284;39.564.750
40;253270;-1.949.234;39.564.669
40;253280;-1.949.184;39.564.588
40;253290;-1.949.134;39.564.506
40;253300;-1.949.084;39.564.425
40;253310;-1.949.034;39.564.344
40;253320;-1.948.984;39.564.262
40;253330;-1.948.934;39.564.181
40;253340;-1.948.883;39.564.100
40;253350;-1.948.832;39.564.019
40;253360;-1.948.781;39.563.938
40;253370;-1.948.730;39.563.857
40;253380;-1.948.679;39.563.776
