Linea;PK;Longitud;Latitud
40;173521;-2.374561;40.048368
40;173522;-2.374549;40.048366
40;173523;-2.374538;40.048363
40;173524;-2.374527;40.048361
40;173525;-2.374515;40.048359
40;173526;-2.374504;40.048356
40;173527;-2.374493;40.048354
40;173528;-2.374482;40.048351
40;173529;-2.374470;40.048349
40;173530;-2.374459;40.048346
40;173531;-2.374448;40.048344
40;173532;-2.374436;40.048342
40;173533;-2.374425;40.048339
40;173534;-2.374414;40.048337
40;173535;-2.374403;40.048334
40;173536;-2.374391;40.048332
40;173537;-2.374380;40.048329
40;173538;-2.374369;40.048327
40;173539;-2.374357;40.048325
40;173540;-2.374346;40.048322
40;173541;-2.374335;40.048320
40;173542;-2.374324;40.048317
40;173543;-2.374312;40.048315
40;173544;-2.374301;40.048312
40;173545;-2.374290;40.048310
40;173546;-2.374278;40.048308
40;173547;-2.374267;40.048305
40;173548;-2.374256;40.048303
40;173549;-2.374245;40.048300
40;173550;-2.374233;40.048298
40;173551;-2.374222;40.048295
40;173552;-2.374211;40.048293
40;173553;-2.374199;40.048291
40;173554;-2.374188;40.048288
40;173555;-2.374177;40.048286
40;173556;-2.374166;40.048283
40;173557;-2.374154;40.048281
40;173558;-2.374143;40.048278
40;173559;-2.374132;40.048276
40;173560;-2.374120;40.048273
40;173561;-2.374109;40.048271
40;173562;-2.374098;40.048269
40;173563;-2.374087;40.048266
40;173564;-2.374075;40.048264
40;173565;-2.374064;40.048261
40;173566;-2.374053;40.048259
40;173567;-2.374041;40.048256
40;173568;-2.374030;40.048254
40;173569;-2.374019;40.048252
40;173570;-2.374008;40.048249
40;173571;-2.373996;40.048247
40;173572;-2.373985;40.048244
40;173573;-2.373974;40.048242
40;173574;-2.373962;40.048239
40;173575;-2.373951;40.048237
40;173576;-2.373940;40.048234
40;173577;-2.373929;40.048232
40;173578;-2.373917;40.048229
40;173579;-2.373906;40.048227
40;173580;-2.373895;40.048224
40;173581;-2.373884;40.048222
40;173582;-2.373872;40.048219
40;173583;-2.373861;40.048217
40;173584;-2.373850;40.048214
